id,month,bank_name,no_of_transactions,amt_of_transactions,active_users
240,01-05-2022,Tamilnad Mercantile Bank,634904,721272.8,56516
241,01-05-2022,Thane Bharat Co-operative Bank,20317,15766.08,2829
242,01-05-2022,Ahmedabad District Co-operative Bank,1226,2852.67,87
243,01-05-2022,Akola Janata Commercial Co-operative Bank,1851,3068.99,628
244,01-05-2022,Jammu and Kashmir Bank,465995,539284.21,116969
245,01-05-2022,Kalupur Commercial Co-operative Bank,62108,197987.21,4443
246,01-05-2022,Kalyan Janata Co-operative Bank,6608,6578.96,900
247,01-05-2022,Karur Vysya Bank,998731,1538465.91,180641
248,01-05-2022,Surat Peoples Co-operative Bank,8674,29938.7,815
249,01-05-2022,UCO Bank,329150,413942.65,80341
250,01-05-2022,Ujjivan Small Finance Bank,60390,108919.67,11095
251,01-05-2022,Union Bank of India,2924239,4462566.63,452044
252,01-05-2022,Utkarsh Small Finance Bank,4863,3515.3,3434
253,01-05-2022,Woori Bank,3807,17659.31,562
254,01-05-2022,Yes Bank,5117038,18429761.48,392416
255,01-06-2022,AU Small Finance Bank,461481,861751.78,40205
256,01-06-2022,Abhyudaya Co-operative Bank,2,0.08,1
257,01-06-2022,Ahmednagar Merchants Co-operative Bank,19766,33779.55,55
258,01-06-2022,Airtel Payments Bank,21355,1118.45,7446
259,01-06-2022,Andhra Pradesh Grameen Vikas Bank,1198,879.44,605
260,01-06-2022,Australia and New Zealand Banking Group,25597,851368.94,51
261,01-06-2022,Axis Bank,5456164,3316090.84,1281487
262,01-06-2022,BNP Paribas,411667,3501662.12,405
263,01-06-2022,Bandhan Bank,447563,480133.93,79668
264,01-06-2022,"Bank of America, N.A.",35115,2590424.48,500
265,01-06-2022,Bank of Baroda,3465195,6313550.32,487001
266,01-06-2022,Bank of India,2373889,4677099.03,483009
267,01-06-2022,Bank of Maharashtra,7469270,2034021.57,232420
268,01-06-2022,Barclays Bank PLC,89091,1661034.82,2261
269,01-06-2022,Bassein Catholic Co-operative Bank,20396,19728.28,3140
270,01-06-2022,Bharat Co-operative Bank,40435,99930.2,2935
271,01-06-2022,CSB Bank,137031,59758.28,74129
272,01-06-2022,Canara Bank,3550150,4612105.8,874557
273,01-06-2022,Capital Small Finance Bank,10536,18539.6,557
274,01-06-2022,Central Bank of India,12773260,2602301.74,391088
275,01-06-2022,Citi Bank,862335,696898.71,548047
276,01-06-2022,City Union Bank,735448,707775.33,101603
277,01-06-2022,Co-operative Rabobank U.A.,5644,15689.43,22
278,01-06-2022,Credit Agricole Corporate and Investment Bank,33630,138768.09,112
279,01-06-2022,DBS Bank India,469199,7351338.65,81742
280,01-06-2022,DCB Bank,162735,222484.66,20253
281,01-06-2022,Deutsche Bank AG,54280,29478.11,19660
